job_card_no,warning_type,detail,created_at
2024/11/R/825,NONSTANDARD_SITE,Solution,2026-07-12 10:48:40
2024/11/R/826,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/11/R/831,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/11/R/832,NONSTANDARD_SITE,Solution,2026-07-12 10:48:40
2024/11/R/834,NONSTANDARD_SITE,Solution,2026-07-12 10:48:40
2024/11/R/834,EQUIPMENT_ASSET,Elec. Hoist,2026-07-12 10:48:40
2024/11/R/835,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/11/R/836,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/11/R/837,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/11/R/845,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/11/R/846,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/11/R/847,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/11/R/848,NONSTANDARD_SITE,H/O,2026-07-12 10:48:40
2024/11/R/853,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/11/R/854,EQUIPMENT_ASSET,Tractor tailor,2026-07-12 10:48:40
2024/11/R/858,ODOMETER_EXTRACTED,206502 Km,2026-07-12 10:48:40
2024/11/R/864-1,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/11/R/867,NONSTANDARD_SITE,Solution,2026-07-12 10:48:40
2024/11/R/868,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/11/R/869,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/11/R/870,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/11/R/870,EQUIPMENT_ASSET,Crusher Plant,2026-07-12 10:48:40
2024/11/R/874,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/11/R/875,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/11/R/876,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/11/R/878,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/11/R/884,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/11/R/886,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/11/R/888,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/11/R/890,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/11/R/892,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/11/R/893,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/11/R/895,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/11/R/896,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/11/R/902,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/11/R/903,NONSTANDARD_SITE,Solution,2026-07-12 10:48:40
2024/11/R/904,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/11/R/905,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/12/R/912,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/12/R/913,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/12/R/926,NONSTANDARD_SITE,H/O,2026-07-12 10:48:40
2024/12/R/931,EQUIPMENT_ASSET,Crusher Plant,2026-07-12 10:48:40
2024/12/R/934,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/12/R/935,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/12/R/935,EQUIPMENT_ASSET,water pump,2026-07-12 10:48:40
2024/12/R/936,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/12/R/937,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/12/R/938,NONSTANDARD_SITE,Solution,2026-07-12 10:48:40
2024/12/R/940,NONSTANDARD_SITE,Asphalt plant-badalgama,2026-07-12 10:48:40
2024/12/R/941,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/12/R/942,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/12/R/943,NONSTANDARD_SITE,Solution,2026-07-12 10:48:40
2024/12/R/944,DATE_INVERTED,opened 2024-12-11 > closed 2024-11-12,2026-07-12 10:48:40
2024/12/R/953,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/12/R/957,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/12/R/957,EQUIPMENT_ASSET,Crusher Plant,2026-07-12 10:48:40
2024/12/R/962,EQUIPMENT_ASSET,Rammer,2026-07-12 10:48:40
2024/12/R/964,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/12/R/965,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/12/R/980,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/12/R/983,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/12/R/985,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/12/R/986,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/12/R/992,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/12/R/993,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/12/R/996,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/12/R/1001,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/12/R/1002,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/12/R/1003,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/12/R/1004,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/1/R/002,NONSTANDARD_SITE,Solution,2026-07-12 10:48:40
2025/1/R/004,EQUIPMENT_ASSET,concrete mixture,2026-07-12 10:48:40
2025/1/R/005,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/1/R/006,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/1/R/007,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/1/R/008,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/1/R/009,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/1/R/010,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/1/R/010,DATE_INVERTED,opened 2025-05-04 > closed 2025-01-04,2026-07-12 10:48:40
2025/1/R/011,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/1/R/012,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/1/R/016,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/1/R/018,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/1/R/019,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/1/R/020,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/1/R/021,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/1/R/024,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/1/R/029,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/1/R/034,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/1/R/035,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/1/R/036,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/1/R/041,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/1/R/049,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/1/R/066,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/1/R/066,EQUIPMENT_ASSET,Pocker,2026-07-12 10:48:40
2025/1/R/067,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/1/R/067,EQUIPMENT_ASSET,2' water pump,2026-07-12 10:48:40
2025/1/R/068,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/1/R/068,EQUIPMENT_ASSET,Bar cutter,2026-07-12 10:48:40
2025/1/R/069,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/1/R/070-1,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/1/R/070,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/1/R/071,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/1/R/072,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/1/R/072-1,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/1/R/073,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/1/R/073,EQUIPMENT_ASSET,Batching plant,2026-07-12 10:48:40
2025/1/R/074,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/1/R/078,EQUIPMENT_ASSET,Bituman cart,2026-07-12 10:48:40
2025/1/R/083,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/1/R/085,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/1/R/091,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/1/R/092,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/1/R/096,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/1/R/101,NONSTANDARD_SITE,H/O,2026-07-12 10:48:40
2025/1/R/103,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/2/R/109,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/2/R/110,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/2/R/110,EQUIPMENT_ASSET,Bar Bender,2026-07-12 10:48:40
2025/2/R/111,ODOMETER_EXTRACTED,3775 Hrs,2026-07-12 10:48:40
2025/2/R/112,NONSTANDARD_SITE,H/O,2026-07-12 10:48:40
2025/2/R/116,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/2/R/117,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/2/R/118,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/2/R/122,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/2/R/123,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/2/R/124,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/2/R/127,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/2/R/131,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/2/R/133,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/2/R/135,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/2/R/136,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/2/R/143,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/2/R/153,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/2/R/153,EQUIPMENT_ASSET,bobcat boomer,2026-07-12 10:48:40
2025/2/R/154,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/2/R/162,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/2/R/165,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/2/R/166,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/2/R/167,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/2/R/170,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/2/R/171,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/2/R/172,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/2/R/173,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/2/R/174,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/2/R/175,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/2/R/178,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/3/R/190,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/3/R/191,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/3/R/193,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/3/R/193-1,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/3/R/196,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/3/R/197,EQUIPMENT_ASSET,1T roller,2026-07-12 10:48:40
2025/3/R/200,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/3/R/202,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/3/R/204,ODOMETER_EXTRACTED,423266 Km,2026-07-12 10:48:40
2025/3/R/205,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/3/R/208,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/3/R/212,EQUIPMENT_ASSET,"porker vibrator, water pump",2026-07-12 10:48:40
2025/3/R/215,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/3/R/221,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/3/R/222,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/3/R/229,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/3/R/237,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/3/R/243,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/3/R/246,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/3/R/247,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/3/R/248,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/3/R/254,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/3/R/255,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/3/R/256,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/3/R/259,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/3/R/260,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/3/R/261,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/3/R/267,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/3/R/268,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/3/R/269,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/3/R/270,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/3/R/278,ODOMETER_EXTRACTED,901373 Km,2026-07-12 10:48:40
2025/4/R/282,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/4/R/285,NONSTANDARD_SITE,H/O,2026-07-12 10:48:40
2025/4/R/286,NONSTANDARD_SITE,Solution,2026-07-12 10:48:40
2025/4/R/286-1,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/4/R/291,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/4/R/293,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/4/R/296,NONSTANDARD_SITE,H/O,2026-07-12 10:48:40
2025/4/R/298,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/4/R/298,DATE_INVERTED,opened 2025-04-22 > closed 2024-05-07,2026-07-12 10:48:40
2025/4/R/302,ODOMETER_EXTRACTED,10605 Hrs,2026-07-12 10:48:40
2025/4/R/305,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/4/R/306,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/4/R/307,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/4/R/308,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/4/R/314,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/4/R/318,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/4/R/319,EQUIPMENT_ASSET,1T roller,2026-07-12 10:48:40
2025/4/R/322,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/4/R/323,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/4/R/324,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/5/R/325,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/5/R/325,ODOMETER_EXTRACTED,2739 Hrs,2026-07-12 10:48:40
2025/5/R/326,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/5/R/326,ODOMETER_EXTRACTED,872 Hrs,2026-07-12 10:48:40
2025/5/R/327,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/5/R/338,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/5/R/340,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/5/R/347,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/5/R/352,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/5/R/353,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/5/R/358,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/5/R/359,NONSTANDARD_SITE,Solution,2026-07-12 10:48:40
2025/5/R/361,NONSTANDARD_SITE,A/Team,2026-07-12 10:48:40
2025/5/R/364,ODOMETER_EXTRACTED,4005 Hrs,2026-07-12 10:48:40
2025/5/R/367,EQUIPMENT_ASSET,Muthur plant,2026-07-12 10:48:40
2025/5/R/372,ODOMETER_EXTRACTED,13686 Hrs,2026-07-12 10:48:40
2025/5/R/375,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/5/R/375,EQUIPMENT_ASSET,Diesel bowser,2026-07-12 10:48:40
2025/5/R/376,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/5/R/381,ODOMETER_EXTRACTED,37121 Km,2026-07-12 10:48:40
2025/5/R/388,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/5/R/393,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/5/R/394,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/5/R/398,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/5/R/400,NONSTANDARD_SITE,A/Team,2026-07-12 10:48:40
2025/5/R/401,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/5/R/402,NONSTANDARD_SITE,A/Team,2026-07-12 10:48:40
2025/5/R/403,NONSTANDARD_SITE,A/Team,2026-07-12 10:48:40
2025/5/R/404,NONSTANDARD_SITE,A/Team,2026-07-12 10:48:40
2025/6/R/406,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/6/R/407,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/6/R/410,NONSTANDARD_SITE,Solution,2026-07-12 10:48:40
2025/6/R/411,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/6/R/412,NONSTANDARD_SITE,Solution,2026-07-12 10:48:40
2025/6/R/415,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/6/R/416,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/6/R/417,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/6/R/418,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/6/R/419,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/6/R/424,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/6/R/427,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/6/R/430,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/6/R/443,NONSTANDARD_SITE,H/O,2026-07-12 10:48:40
2025/6/R/444,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/6/R/445,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/6/R/446,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/6/R/451,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/6/R/455,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/6/R/456,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/6/R/457,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/6/R/461,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/6/R/465,NONSTANDARD_SITE,Solution,2026-07-12 10:48:40
2025/6/R/469,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/6/R/470,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/6/R/471,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/6/R/474,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/7/R/478,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/7/R/481,NONSTANDARD_SITE,Solution,2026-07-12 10:48:40
2025/7/R/482,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/7/R/484,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/7/R/493,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/7/R/498,NONSTANDARD_SITE,Solution,2026-07-12 10:48:40
2025/7/R/499,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/7/R/502,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/7/R/503,EQUIPMENT_ASSET,Asphalt cutter,2026-07-12 10:48:40
2025/7/R/505,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/7/R/513,DATE_INVERTED,opened 2025-07-15 > closed 2025-05-17,2026-07-12 10:48:40
2025/7/R/520,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/7/R/530,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/7/R/539,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/7/R/542,NONSTANDARD_SITE,Solution,2026-07-12 10:48:40
2025/7/R/544,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/7/R/547,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/7/R/548,EQUIPMENT_ASSET,air compressor,2026-07-12 10:48:40
2025/7/R/549,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/7/R/552,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/7/R/560,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/7/R/561,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/7/R/562,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/7/R/565,NONSTANDARD_SITE,Solution,2026-07-12 10:48:40
2025/8/R/568,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/8/R/569,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/8/R/570,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/8/R/572,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/8/R/573,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/8/R/574,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/8/R/578,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/8/R/583,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/8/R/589,FUTURE_DATE,opened 2026-08-11,2026-07-12 10:48:40
2025/8/R/589,FUTURE_DATE,closed 2026-08-13,2026-07-12 10:48:40
2025/8/R/591,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/8/R/593,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/8/R/594,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/8/R/595,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/8/R/596,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/8/R/597,EQUIPMENT_ASSET,one bag mixture,2026-07-12 10:48:40
2025/8/R/598,EQUIPMENT_ASSET,Tractor bowser,2026-07-12 10:48:40
2025/8/R/602,NONSTANDARD_SITE,Solution,2026-07-12 10:48:40
2025/8/R/612,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/8/R/613,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/8/R/615,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/8/R/616,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/8/R/620,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/8/R/624,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/8/R/625,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/8/R/626,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/8/R/629,MISSING_ASSET,Requested job row 2335,2026-07-12 10:48:40
2025/8/R/638,ODOMETER_EXTRACTED,292747 Km,2026-07-12 10:48:40
2025/8/R/641,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/8/R/642,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/9/R/652,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/9/R/653,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/9/R/654,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/9/R/655,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/9/R/657,NONSTANDARD_SITE,H/O,2026-07-12 10:48:40
2025/9/R/673,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/9/R/674,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/9/R/675,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/9/R/676,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/9/R/677,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/9/R/681,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/9/R/684,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/9/R/687,NONSTANDARD_SITE,H/O,2026-07-12 10:48:40
2025/9/R/695,NONSTANDARD_SITE,Solution,2026-07-12 10:48:40
2025/9/R/698,EQUIPMENT_ASSET,Asphalt cutter,2026-07-12 10:48:40
2025/9/R/699,EQUIPMENT_ASSET,Concrete Mixer,2026-07-12 10:48:40
2025/9/R/701,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/9/R/703,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/9/R/705,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/9/R/706,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/9/R/708,EQUIPMENT_ASSET,"Water Pump 2""",2026-07-12 10:48:40
2025/9/R/709,NONSTANDARD_SITE,Solution,2026-07-12 10:48:40
2025/9/R/712,NONSTANDARD_SITE,Solution,2026-07-12 10:48:40
2025/9/R/713,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/9/R/716,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/9/R/722,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/9/R/732,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/9/R/733,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/9/R/738,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/9/R/739,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/9/R/742,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/10/R/743,NONSTANDARD_SITE,A/P Badalgama,2026-07-12 10:48:40
2025/10/R/747,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/10/R/749,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2025/10/R/758,NONSTANDARD_SITE,Solution,2026-07-12 10:48:40
